Auth1,Auth2
"Johansson,B.","Sonnerborg,A."
"Johansson,B.","Sherefa,K."
"Johansson,B.","Sonnerborg,A."
"Sherefa,K.","Sonnerborg,A."
"Schwartz,D.H.","Laeyendecker,O.L."
"Schwartz,D.H.","Song,H."
"Schwartz,D.H.","Ray,S.C."
"Laeyendecker,O.L.","Song,H."
"Laeyendecker,O.L.","Ray,S.C."
"Song,H.","Ray,S.C."
"Klasse,P.J.","Boyd,M.T."
"Klasse,P.J.","Weiss,R.A."
"Klasse,P.J.","Schulz,T.F."
"Boyd,M.T.","Weiss,R.A."
"Boyd,M.T.","Schulz,T.F."
"Weiss,R.A.","Schulz,T.F."
"Wang,F.","Franken,M."
"Wang,F.","Annis,B."
"Franken,M.","Annis,B."
"Wang,F.","Franken,M."
"Wang,F.","Annis,B."
"Franken,M.","Annis,B."
"Guan,Y.","Shortridge,K.F."
"Guan,Y.","Krauss,S."
"Guan,Y.","Li,P.H."
"Guan,Y.","Kawaoka,Y."
"Guan,Y.","Webster,R.G."
"Shortridge,K.F.","Krauss,S."
"Shortridge,K.F.","Li,P.H."
"Shortridge,K.F.","Kawaoka,Y."
"Shortridge,K.F.","Webster,R.G."
"Krauss,S.","Li,P.H."
"Krauss,S.","Kawaoka,Y."
"Krauss,S.","Webster,R.G."
"Li,P.H.","Kawaoka,Y."
"Li,P.H.","Webster,R.G."
"Kawaoka,Y.","Webster,R.G."
"Jia,W.","Naqi,S.A."
"Barbosa,E.F.","Carneiro-Proietti,A.B.F."
"Barbosa,E.F.","Kroon,E.G."
"Barbosa,E.F.","Ferreira,P.C.P."
"Carneiro-Proietti,A.B.F.","Kroon,E.G."
"Carneiro-Proietti,A.B.F.","Ferreira,P.C.P."
"Kroon,E.G.","Ferreira,P.C.P."
"Barbosa,E.F.","Carneiro-Proietti,A.B.F."
"Barbosa,E.F.","Kroon,E.G."
"Barbosa,E.F.","Ferreira,P.C.P."
"Carneiro-Proietti,A.B.F.","Kroon,E.G."
"Carneiro-Proietti,A.B.F.","Ferreira,P.C.P."
"Kroon,E.G.","Ferreira,P.C.P."
"Barbosa,E.F.","Carneiro-Proietti,A.B.F."
"Barbosa,E.F.","Kroon,E.G."
"Barbosa,E.F.","Ferreira,P.C.P."
"Carneiro-Proietti,A.B.F.","Kroon,E.G."
"Carneiro-Proietti,A.B.F.","Ferreira,P.C.P."
"Kroon,E.G.","Ferreira,P.C.P."
"Wright,P.J.","Cauchi,M.R."
"Wright,P.J.","Doultree,J.C."
"Wright,P.J.","Marshall,J.A."
"Cauchi,M.R.","Doultree,J.C."
"Cauchi,M.R.","Marshall,J.A."
"Doultree,J.C.","Marshall,J.A."
"Jackson,R.J.","Hall,D.F."
"Palhan,V.B.","Gopinathan,K.P."
"Guan,Y.","Shortridge,K.F."
"Guan,Y.","Krauss,S."
"Guan,Y.","Li,P.H."
"Guan,Y.","Kawaoka,Y."
"Guan,Y.","Webster,R.G."
"Shortridge,K.F.","Krauss,S."
"Shortridge,K.F.","Li,P.H."
"Shortridge,K.F.","Kawaoka,Y."
"Shortridge,K.F.","Webster,R.G."
"Krauss,S.","Li,P.H."
"Krauss,S.","Kawaoka,Y."
"Krauss,S.","Webster,R.G."
"Li,P.H.","Kawaoka,Y."
"Li,P.H.","Webster,R.G."
"Kawaoka,Y.","Webster,R.G."
"Pearson,R.E.","Hamilton,P.T."
"Pearson,R.E.","Little,M.C."
"Hamilton,P.T.","Little,M.C."
"Griffiths,D.J.","Venables,P.J.W."
"Griffiths,D.J.","Weiss,R.A."
"Griffiths,D.J.","Boyd,M.T."
"Venables,P.J.W.","Weiss,R.A."
"Venables,P.J.W.","Boyd,M.T."
"Weiss,R.A.","Boyd,M.T."
"Guan,Y.","Shortridge,K.F."
"Guan,Y.","Krauss,S."
"Guan,Y.","Li,P.H."
"Guan,Y.","Kawaoka,Y."
"Guan,Y.","Webster,R.G."
"Shortridge,K.F.","Krauss,S."
"Shortridge,K.F.","Li,P.H."
"Shortridge,K.F.","Kawaoka,Y."
"Shortridge,K.F.","Webster,R.G."
"Krauss,S.","Li,P.H."
"Krauss,S.","Kawaoka,Y."
"Krauss,S.","Webster,R.G."
"Li,P.H.","Kawaoka,Y."
"Li,P.H.","Webster,R.G."
"Kawaoka,Y.","Webster,R.G."
"Deom,C.M.","Silver,S."
"Deom,C.M.","Quan,S."
"Silver,S.","Quan,S."
"Zhu,H.T.","Fang,R.X."
"Zhu,H.T.","Chen,X.Y."
"Fang,R.X.","Chen,X.Y."
"Guan,Y.","Shortridge,K.F."
"Guan,Y.","Krauss,S."
"Guan,Y.","Li,P.H."
"Guan,Y.","Kawaoka,Y."
"Guan,Y.","Webster,R.G."
"Shortridge,K.F.","Krauss,S."
"Shortridge,K.F.","Li,P.H."
"Shortridge,K.F.","Kawaoka,Y."
"Shortridge,K.F.","Webster,R.G."
"Krauss,S.","Li,P.H."
"Krauss,S.","Kawaoka,Y."
"Krauss,S.","Webster,R.G."
"Li,P.H.","Kawaoka,Y."
"Li,P.H.","Webster,R.G."
"Kawaoka,Y.","Webster,R.G."
"Boccard,F.","Clerget,M."
"Roth,W.W.","Zuberi,J.A."
"Roth,W.W.","Stringer,H.G."
"Roth,W.W.","Davidson,S.K."
