"Auth1","Auth2"
"Kato,Y.","Niikura,M."
"Kato,Y.","Mikami,T."
"Tohya,Y.","Niikura,M."
"Tohya,Y.","Mikami,T."
"Niikura,M.","Mikami,T."
"Jang,H.K.","Ono,M."
"Jang,H.K.","Kim,T.J."
"Jang,H.K.","Cai,J.S."
"Jang,H.K.","Tsushima,Y."
"Jang,H.K.","Niikura,M."
"Jang,H.K.","Mikami,T."
"Ono,M.","Kim,T.J."
"Ono,M.","Cai,J.S."
"Ono,M.","Tsushima,Y."
"Ono,M.","Niikura,M."
"Ono,M.","Mikami,T."
"Kim,T.J.","Cai,J.S."
"Kim,T.J.","Tsushima,Y."
"Kim,T.J.","Niikura,M."
"Kim,T.J.","Mikami,T."
"Cai,J.S.","Tsushima,Y."
"Cai,J.S.","Niikura,M."
"Cai,J.S.","Mikami,T."
"Tsushima,Y.","Niikura,M."
"Tsushima,Y.","Mikami,T."
"Niikura,M.","Mikami,T."
"Yamazaki,K.","Oseto,M."
"Yamazaki,K.","Seto,Y."
"Yamazaki,K.","Utagawa,E."
"Yamazaki,K.","Kimoto,T."
"Yamazaki,K.","Minekawa,Y."
"Yamazaki,K.","Inouye,S."
"Yamazaki,K.","Yamazaki,S."
"Yamazaki,K.","Okuno,Y."
"Yamazaki,K.","Oishi,I."
"Oseto,M.","Seto,Y."
"Oseto,M.","Utagawa,E."
"Oseto,M.","Kimoto,T."
"Oseto,M.","Minekawa,Y."
"Oseto,M.","Inouye,S."
"Oseto,M.","Yamazaki,S."
"Oseto,M.","Okuno,Y."
"Oseto,M.","Oishi,I."
"Seto,Y.","Utagawa,E."
"Seto,Y.","Kimoto,T."
"Seto,Y.","Minekawa,Y."
"Seto,Y.","Inouye,S."
"Seto,Y.","Yamazaki,S."
"Seto,Y.","Okuno,Y."
"Seto,Y.","Oishi,I."
"Utagawa,E.","Kimoto,T."
"Utagawa,E.","Minekawa,Y."
"Utagawa,E.","Inouye,S."
"Utagawa,E.","Yamazaki,S."
"Utagawa,E.","Okuno,Y."
"Utagawa,E.","Oishi,I."
"Kimoto,T.","Minekawa,Y."
"Kimoto,T.","Inouye,S."
"Kimoto,T.","Yamazaki,S."
"Kimoto,T.","Okuno,Y."
"Kimoto,T.","Oishi,I."
"Minekawa,Y.","Inouye,S."
"Minekawa,Y.","Yamazaki,S."
"Minekawa,Y.","Okuno,Y."
"Minekawa,Y.","Oishi,I."
"Inouye,S.","Yamazaki,S."
"Inouye,S.","Okuno,Y."
"Inouye,S.","Oishi,I."
"Yamazaki,S.","Okuno,Y."
"Yamazaki,S.","Oishi,I."
"Okuno,Y.","Oishi,I."
"Tsubokura,K.","Horiuchi,H."
"Tsubokura,K.","Sato,S."
"Tsubokura,K.","Oshima,H."
"Tsubokura,K.","Imagawa,H."
"Tsubokura,K.","Kamada,M."
"Tsubokura,K.","Matsuda,H."
"Horiuchi,H.","Sato,S."
"Horiuchi,H.","Oshima,H."
"Horiuchi,H.","Imagawa,H."
"Horiuchi,H.","Kamada,M."
"Horiuchi,H.","Matsuda,H."
"Sato,S.","Oshima,H."
"Sato,S.","Imagawa,H."
"Sato,S.","Kamada,M."
"Sato,S.","Matsuda,H."
"Oshima,H.","Imagawa,H."
"Oshima,H.","Kamada,M."
"Oshima,H.","Matsuda,H."
"Imagawa,H.","Kamada,M."
"Imagawa,H.","Matsuda,H."
