"","Auth","tax_id"
"620","Roth,W.W.",11676
"621","Roth,W.W.",11676
"622","Zuberi,J.A.",11676
"623","Zuberi,J.A.",11676
"624","Zuberi,J.A.",11676
"625","Stringer,H.G.",11676
"626","Stringer,H.G.",11676
"627","Davidson,S.K.",11676
"628","Roth,W.W.",11676
"629","Roth,W.W.",11676
"630","Roth,W.W.",11676
"631","Roth,W.W.",11676
"632","Zuberi,J.A.",11676
"633","Zuberi,J.A.",11676
"634","Zuberi,J.A.",11676
"635","Stringer,H.G.",11676
"636","Stringer,H.G.",11676
"637","Davidson,S.K.",11676
"638","Guan,Y.",380346
"639","Guan,Y.",380346
"640","Guan,Y.",380346
"641","Guan,Y.",380346
"642","Guan,Y.",380346
"643","Shortridge,K.F.",380346
"644","Shortridge,K.F.",380346
"645","Shortridge,K.F.",380346
"646","Shortridge,K.F.",380346
"647","Krauss,S.",380346
"648","Krauss,S.",380346
"649","Krauss,S.",380346
"650","Li,P.H.",380346
"651","Li,P.H.",380346
"652","Kawaoka,Y.",380346
"653","Wolinsky,S.M.",11676
"654","Wolinsky,S.M.",11676
"655","Wolinsky,S.M.",11676
"656","Wolinsky,S.M.",11676
"657","Ganeshan,S.",11676
"658","Ganeshan,S.",11676
"659","Ganeshan,S.",11676
"660","Korber,B.T.",11676
"661","Korber,B.T.",11676
"662","Dickover,R.",11676
"663","Mason,C.L.",11002
"664","McCutchan,F.E.",11676
"665","McCutchan,F.E.",11676
"666","McCutchan,F.E.",11676
"667","McCutchan,F.E.",11676
"668","McCutchan,F.E.",11676
"669","Artenstein,A.W.",11676
"670","Artenstein,A.W.",11676
"671","Artenstein,A.W.",11676
"672","Artenstein,A.W.",11676
"673","Sanders-Buell,E.",11676
"674","Sanders-Buell,E.",11676
"675","Sanders-Buell,E.",11676
"676","Slaminen,M.O.",11676
"677","Slaminen,M.O.",11676
"678","Carr,J.K.",11676
"679","Guan,Y.",380335
"680","Guan,Y.",380335
"681","Guan,Y.",380335
"682","Guan,Y.",380335
"683","Guan,Y.",380335
"684","Shortridge,K.F.",380335
"685","Shortridge,K.F.",380335
"686","Shortridge,K.F.",380335
"687","Shortridge,K.F.",380335
"688","Krauss,S.",380335
"689","Krauss,S.",380335
"690","Krauss,S.",380335
"691","Li,P.H.",380335
"692","Li,P.H.",380335
"693","Kawaoka,Y.",380335
"694","Lindstrom,S.E.",380958
"695","Lindstrom,S.E.",380958
"696","Lindstrom,S.E.",380958
"697","Lindstrom,S.E.",380958
"698","Lindstrom,S.E.",380958
"699","Lindstrom,S.E.",380958
"700","Sugita,S.",380958
"701","Sugita,S.",380958
"702","Sugita,S.",380958
"703","Sugita,S.",380958
"704","Sugita,S.",380958
"705","Endo,A.",380958
"706","Endo,A.",380958
"707","Endo,A.",380958
"708","Endo,A.",380958
"709","Ishida,M.",380958
"710","Ishida,M.",380958
"711","Ishida,M.",380958
"712","Huang,P.",380958
"713","Huang,P.",380958
"714","Xi,S.H",380958
"715","Parker,M.L.",10665
"716","Muramatsu,S.",46350
"717","Guan,Y.",380331
"718","Guan,Y.",380331
"719","Guan,Y.",380331
"720","Guan,Y.",380331
"721","Guan,Y.",380331
"722","Shortridge,K.F.",380331
"723","Shortridge,K.F.",380331
"724","Shortridge,K.F.",380331
"725","Shortridge,K.F.",380331
"726","Krauss,S.",380331
"727","Krauss,S.",380331
"728","Krauss,S.",380331
"729","Li,P.H.",380331
"730","Li,P.H.",380331
"731","Kawaoka,Y.",380331
"732","Artenstein,A.W.",11676
"733","Guan,Y.",380345
"734","Guan,Y.",380345
"735","Guan,Y.",380345
"736","Guan,Y.",380345
"737","Guan,Y.",380345
"738","Shortridge,K.F.",380345
"739","Shortridge,K.F.",380345
"740","Shortridge,K.F.",380345
"741","Shortridge,K.F.",380345
"742","Krauss,S.",380345
"743","Krauss,S.",380345
"744","Krauss,S.",380345
"745","Li,P.H.",380345
"746","Li,P.H.",380345
"747","Kawaoka,Y.",380345
"748","Holland,T.C.",10298
"749","Madden,C.R.",11665
"750","Kyaw-Zin-Thant",11060
"751","Chinsangaram,J.",28876
"752","Chinsangaram,J.",28876
"753","Chinsangaram,J.",28876
"754","McBride,J.W.",28876
"755","McBride,J.W.",28876
"756","Balasuriya,U.B.R.",28876
"757","O'Shannessy,D.J.",10310
"758","O'Shannessy,D.J.",10310
"759","O'Shannessy,D.J.",10310
"760","O'Shannessy,D.J.",10310
"761","O'Shannessy,D.J.",10310
"762","O'Shannessy,D.J.",10310
"763","O'Shannessy,D.J.",10310
"764","O'Shannessy,D.J.",10310
"765","O'Donnell,K.C.",10310
"766","O'Donnell,K.C.",10310
"767","O'Donnell,K.C.",10310
"768","O'Donnell,K.C.",10310
"769","O'Donnell,K.C.",10310
"770","O'Donnell,K.C.",10310
"771","O'Donnell,K.C.",10310
"772","Hellmig,B.",10310
"773","Hellmig,B.",10310
"774","Hellmig,B.",10310
"775","Hellmig,B.",10310
"776","Hellmig,B.",10310
"777","Hellmig,B.",10310
"778","Shabon,U.",10310
"779","Shabon,U.",10310
"780","Shabon,U.",10310
"781","Shabon,U.",10310
"782","Shabon,U.",10310
"783","O'Brien,S.",10310
"784","O'Brien,S.",10310
"785","O'Brien,S.",10310
"786","O'Brien,S.",10310
"787","Chamberlain,P.",10310
"788","Chamberlain,P.",10310
"789","Chamberlain,P.",10310
"790","Holmes,S.",10310
"791","Holmes,S.",10310
"792","Abdel-Meguid,S.S.",10310
"793","Tyack,S.G.",170325
"794","Guan,Y.",380343
"795","Guan,Y.",380343
"796","Guan,Y.",380343
"797","Guan,Y.",380343
"798","Guan,Y.",380343
"799","Shortridge,K.F.",380343
"800","Shortridge,K.F.",380343
"801","Shortridge,K.F.",380343
"802","Shortridge,K.F.",380343
"803","Krauss,S.",380343
"804","Krauss,S.",380343
"805","Krauss,S.",380343
"806","Li,P.H.",380343
"807","Li,P.H.",380343
"808","Kawaoka,Y.",380343
"809","Schwartz,D.H.",11676
"810","Schwartz,D.H.",11676
"811","Schwartz,D.H.",11676
"812","Laeyendecker,O.L.",11676
"813","Laeyendecker,O.L.",11676
"814","Song,H.",11676
"815","Schwartz,D.H.",11676
"816","Schwartz,D.H.",11676
"817","Schwartz,D.H.",11676
"818","Laeyendecker,O.L.",11676
"819","Laeyendecker,O.L.",11676
"820","Song,H.",11676
"821","Schwartz,D.H.",11676
"822","Schwartz,D.H.",11676
"823","Schwartz,D.H.",11676
"824","Laeyendecker,O.L.",11676
"825","Laeyendecker,O.L.",11676
"826","Song,H.",11676
"827","Schwartz,D.H.",11676
"828","Schwartz,D.H.",11676
"829","Schwartz,D.H.",11676
"830","Laeyendecker,O.L.",11676
"831","Laeyendecker,O.L.",11676
"832","Song,H.",11676
"833","Schwartz,D.H.",11676
"834","Schwartz,D.H.",11676
"835","Schwartz,D.H.",11676
"836","Laeyendecker,O.L.",11676
"837","Laeyendecker,O.L.",11676
"838","Song,H.",11676
"839","Dewey,R.A.",12675
"840","Dewey,R.A.",12675
"841","Dewey,R.A.",12675
"842","Semorile,L.",12675
"843","Semorile,L.",12675
"844","Crisci,J.V.",12675
"845","Julien,B.",12407
"846","Ferrer,J.F.",11908
"847","Ferrer,J.F.",11908
"848","Ferrer,J.F.",11908
"849","Ferrer,J.F.",11908
"850","Ferrer,J.F.",11908
"851","Ferrer,J.F.",11908
"852","Ferrer,J.F.",11908
"853","Ferrer,J.F.",11908
"854","Ferrer,J.F.",11908
"855","Esteban,E.",11908
"856","Esteban,E.",11908
"857","Esteban,E.",11908
"858","Esteban,E.",11908
"859","Esteban,E.",11908
"860","Esteban,E.",11908
"861","Esteban,E.",11908
"862","Esteban,E.",11908
"863","Dube,S.",11908
"864","Dube,S.",11908
"865","Dube,S.",11908
"866","Dube,S.",11908
"867","Dube,S.",11908
"868","Dube,S.",11908
"869","Dube,S.",11908
"870","Basombrio,M.A.",11908
"871","Basombrio,M.A.",11908
"872","Basombrio,M.A.",11908
"873","Basombrio,M.A.",11908
"874","Basombrio,M.A.",11908
"875","Basombrio,M.A.",11908
"876","Segovia,A.",11908
"877","Segovia,A.",11908
"878","Segovia,A.",11908
"879","Segovia,A.",11908
"880","Segovia,A.",11908
"881","Ramos,P.",11908
"882","Ramos,P.",11908
"883","Ramos,P.",11908
"884","Ramos,P.",11908
"885","Dube,D.K.",11908
"886","Dube,D.K.",11908
"887","Dube,D.K.",11908
"888","Sayre,K.",11908
"889","Sayre,K.",11908
"890","Aguayo,N.",11908
"891","Jia,W.",11120
"892","Stenger,D.C.",46448
"893","Stenger,D.C.",46448
"894","Klute,K.A.",46448
"895","Ren,S.",37296
"896","Ren,S.",37296
"897","Lin,S.-F.",37296
"898","Lin,S.-F.",37296
"899","Lin,S.-F.",37296
"900","Sun,R.",37296
"901","Sun,R.",37296
"902","Sun,R.",37296
"903","Lin,S.-F.",37296
"904","Telenta,F.",10407
"905","Telenta,F.",10407
"906","Telenta,F.",10407
"907","Telenta,F.",10407
